data1;tiempo1;tiempo2;data2;casos_con_sintomas;casos_sin_sintomas;uci;pcr;casos_activos;fallecidos;fim_cuarentena;region;poblacion_region;codigo_region;segunda_cuarentena;id;comuna;codigo_comuna_c;ingreso_per_capita;escolaridad;pobreza;alcantarillado;indice_desarrollo_humano;porcentaje_rural;porcentaje_sector_primario;poblacion;capital_regional;capital_provincial;aeropuerto;puerto;poblacion_edad_15_a_64;poblacion_edad_0_a_4;poblacion_edad_5_a_9;poblacion_edad_10_a_14;poblacion_edad_15_a_19;poblacion_edad_20_a_24;poblacion_edad_25_a_29;poblacion_edad_30_a_34;poblacion_edad_35_a_39;poblacion_edad_40_a_44;poblacion_edad_45_a_49;poblacion_edad_50_a_54;poblacion_edad_55_a_59;poblacion_edad_60_a_64;poblacion_edad_65_a_69;poblacion_edad_70_a_74;poblacion_edad_75_a_79;poblacion_edad_80_y_mas;idse;densidad_poblacional;hacinamiento;inmigrantes;ips;indice_ruralidad
19-12-2020;63;65;21-12-2020;94;84;30;4239;15;4;1;Los Lagos;891440;10;0;26;Chonchi;10203;165.4;8;8.5;53.2;0.481;0.615426033;0.165250379;16013;0;0;0;0;9877;694;973;1079;1265;869;1062;1111;1054;1161;1102;1083;823;695;526;431;346;356;499;11.76;2.22;62;NA;61.58
24-10-2020;21;23;26-10-2020;25;7;15;1019;6;8;1;Nuble;511551;16;0;27;Coihueco;16302;111.5;7.9;29;67.7;0.395;0.661545329;0.328564129;28375;0;0;0;0;17815;1346;1979;1915;2010;1978;1945;1761;1738;1863;2020;1902;1660;1310;994;810;587;589;400;16.02;2.67;55;NA;70.77
24-07-2020;70;74;28-07-2020;605;182;1068;8832;100;101;1;Metropolitana;8125072;13;0;28;Colina;13301;182.9;10.3;10.8;96.9;0.6;0.192801986;0.056955706;180353;0;1;0;0;98912;10366;13638;11537;11144;11064;10976;10806;12596;12402;10413;8480;6383;4841;3427;2373;1410;1319;663;185.77;3.4;9608;64.37;42.15
16-10-2020;49;52;19-10-2020;159;54;83;3661;274;76;1;Biobio;1663696;8;0;29;Concepcion;8101;242.2;11.4;16.8;94.7;0.625;0.020203601;0.012205128;238092;1;0;0;0;158110;9453;11940;11307;17446;25763;21507;16050;13876;13407;13758;14283;13216;11345;8824;7086;5072;6075;675;1081.25;2.61;3332;NA;32.92
25-09-2020;140;143;28-09-2020;301;122;418;12989;74;257;1;Metropolitana;8125072;13;0;30;Conchali;13104;187;10.2;10.1;97.5;0.568;0;0.00704698;139195;0;0;0;0;85791;6424;8072;7548;8557;10503;10820;8817;7888;8133;8275;8972;7941;5988;4801;4250;3533;4275;662;12723.49;3.36;9223;77.06;14.12
28-09-2020;63;68;03-10-2020;24;18;6;758;92;47;1;Atacama;314709;3;0;31;Copiapo;3101;219.4;10.7;14.5;97.6;0.609;0.019326088;0.185235892;171766;1;0;0;0;104175;9456;12440;11111;11611;12691;13404;11584;10668;10064;9988;9738;8505;6604;4690;3394;2474;2652;671;9.66;2.77;4988;NA;42.65
23-09-2020;56;61;28-09-2020;30;18;34;1185;138;62;1;Coquimbo;836096;4;0;32;Coquimbo;4102;183.1;10.4;13;97;0.62;0.057875554;0.086537638;256735;1;0;0;0;151860;13748;17817;15785;16972;18353;18633;16285;15019;15000;14587;14336;12631;10815;8079;6261;4275;4824;657;179.31;2.54;4002;NA;39.05
27-11-2020;77;80;30-11-2020;223;54;97;4470;158;72;1;Biobio;1663696;8;0;33;Coronel;8102;135.7;10.1;22.9;92;0.508;0.027420825;0.045689458;125829;0;0;0;0;78462;6852;9038;8419;8497;8759;9531;8094;7399;7354;7910;8394;7160;5666;3948;2932;2061;2156;547;447.36;2.82;235;NA;35.7
07-08-2020;56;59;10-08-2020;411;225;841;9953;38;17;1;Metropolitana;8125072;13;0;34;Curacavi;13503;167.5;9.6;11.3;90.3;0.581;0.375057552;0.122611357;36430;0;0;0;0;21872;1793;2325;2160;2234;2508;2526;2274;2194;2084;2133;2319;2103;1610;1267;1033;732;732;621;52.49;2.76;577;77.39;51.51
30-10-2020;42;48;05-11-2020;150;40;82;3613;25;11;1;Biobio;1663696;8;0;35;Curanilahue;8205;116.3;9;28.9;87.9;0.414;0.065473241;0.06951958;33892;0;0;0;0;21593;1815;2385;2306;2365;2075;2300;2098;2246;2296;2190;2304;2014;1771;1257;929;632;756;454;33.8;2.86;17;NA;38.72
24-12-2020;21;22;25-12-2020;342;87;116;6711;72;14;0;Biobio;1663696;8;1;36;Curanilahue_2;8205;116.3;9;28.9;87.9;0.414;0.065473241;0.06951958;33892;0;0;0;0;21593;1815;2385;2306;2365;2075;2300;2098;2246;2296;2190;2304;2014;1771;1257;929;632;756;454;33.8;2.86;17;NA;38.72
17-12-2020;14;20;23-12-2020;128;57;37;1504;9;2;1;La Araucania;1014343;9;0;37;Curarrehue;9104;114.8;7.3;21.3;51.3;0.377;0.696087595;0.147375739;7802;0;0;0;0;4543;448;620;555;526;495;549;530;510;481;485;477;377;367;305;225;196;190;384;6.68;2.28;118;NA;63.44
21-08-2020;63;66;24-08-2020;70;28;25;1742;89;64;1;Maule;1131939;7;0;38;Curico;7301;212.6;10;15.2;97.5;0.565;0.111086525;0.161393416;163626;0;1;0;0;101018;8051;10588;10099;10347;10607;12002;10725;10412;10951;9999;10563;9184;7322;5585;4117;2962;3053;639;122.63;2.73;1902;NA;44.42
17-09-2020;154;158;21-09-2020;246;119;428;9537;89;245;1;Metropolitana;8125072;13;0;39;El Bosque;13105;161;9.7;13.6;97.1;0.55;0;0.007085796;172000;0;0;0;0;109501;8523;11785;10559;11777;13303;14114;11133;10021;9812;10132;11023;10091;8212;6348;5352;3737;3854;611;12070.18;3.39;3368;74.63;15.13
28-08-2020;63;66;31-08-2020;320;205;524;12168;13;43;1;Metropolitana;8125072;13;0;40;El Monte;13602;172.7;9.8;16;86.9;0.559;0.163627759;0.146272855;40014;0;0;0;0;24123;2248;2747;2518;2623;2876;2985;2613;2335;2357;2312;2431;2096;1551;1220;954;662;704;583;345.04;3.03;401;76.85;45.12
23-10-2020;28;31;26-10-2020;139;74;35;1876;4;3;1;La Araucania;1014343;9;0;41;Ercilla;9204;93.2;7.2;39.5;49.7;0.239;0.529290056;0.252275209;8458;0;0;0;0;4797;464;633;573;543;545;503;481;450;520;506;483;429;404;337;269;202;238;275;16.95;2.74;0;NA;62.78
13-08-2020;105;109;17-08-2020;358;220;753;10427;108;148;1;Metropolitana;8125072;13;0;42;Estacion Central;13106;207.3;10.6;11.5;98.5;0.587;0;0.012473332;206792;0;0;0;0;105479;7067;8065;7208;8705;13757;16292;13030;10636;9561;8965;9676;8365;6631;5109;4487;3361;3974;686;14390.54;2.8;22479;69.89;11.82
19-12-2020;49;51;21-12-2020;148;66;36;1701;14;6;1;La Araucania;1014343;9;0;43;Freire;9105;100.8;7.7;28.5;49.3;0.386;0.679509063;0.277013752;25446;0;0;0;0;15594;1144;1717;1782;1853;1694;1609;1410;1388;1688;1790;1759;1625;1391;1062;911;667;722;324;29.25;2.65;24;NA;68.93
31-10-2020;21;26;05-11-2020;99;81;32;3339;8;3;1;Los Lagos;891440;10;0;44;Fresia;10104;194.9;8.4;10;79.2;0.457;0.402087921;0.30259536;12656;0;0;0;0;7848;592;755;838;826;793;778;679;705;864;918;976;830;744;588;444;345;392;567;9.92;2.33;9;NA;60.91
31-10-2020;28;33;05-11-2020;99;81;32;3339;11;3;1;Los Lagos;891440;10;0;45;Frutillar;10105;187.3;8.5;13.4;91.3;0.488;0.297156501;0.163852178;20223;0;0;0;0;12057;902;1395;1251;1238;1243;1420;1240;1217;1316;1230;1404;1194;930;748;539;422;413;576;24.42;2.33;88;NA;50.89
12-12-2020;35;37;14-12-2020;51;51;14;1135;6;0;1;Los Rios;405835;14;0;46;Futrono;14202;129.9;8.3;20.8;70.7;0.438;0.442004773;0.178196692;15261;0;0;0;0;9111;838;1155;1065;1003;905;1076;903;883;1016;1022;1068;936;746;594;463;355;352;467;7.3;2.26;34;NA;56.41
14-11-2020;28;30;16-11-2020;131;59;49;2361;10;2;1;La Araucania;1014343;9;0;47;Galvarino;9106;116.3;6.9;28.5;33.3;0.33;0.654134712;0.225153211;12633;0;0;0;0;7492;680;889;957;786;797;767;717;735;725;775;846;791;601;494;432;339;411;300;22.25;2.81;5;NA;65.66
